Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,13,13,16,183,-21,2,-89,-28,7,233,13,-85,-91,13,15,16,255,-166,86,-39,-24,-7,240,76,12,-167
50,13,13,16,189,9,-1,-83,-26,9,232,13,-84,-91,13,14,17,260,-161,73,-27,-25,-14,242,77,11,-171
100,14,13,16,194,3,2,-95,-28,13,234,13,-86,-91,15,14,18,269,-125,46,-65,-30,-14,236,77,12,-169
150,13,13,16,199,-19,-13,-95,-22,12,234,13,-85,-90,13,14,18,275,-96,-22,-72,-29,-11,243,76,11,-170
200,13,13,16,201,-36,-29,-94,-28,9,234,13,-85,-89,13,14,17,274,-45,-103,-73,-27,-10,243,77,12,-167
250,13,13,16,198,-75,-63,-87,-29,12,231,13,-85,-93,14,15,17,257,12,-167,-77,-21,-12,239,76,11,-171
300,14,13,16,195,-48,-50,-93,-24,10,237,13,-86,-89,14,16,18,253,-19,-136,-81,-24,-12,243,76,12,-169
350,13,13,16,191,-39,-13,-102,-24,10,238,13,-84,-92,15,16,18,247,-54,-61,-72,-22,-8,246,76,11,-171
400,13,13,16,193,-38,-26,-77,-31,8,229,13,-85,-89,15,15,18,247,-65,-60,-55,-23,-6,240,77,12,-168
450,14,13,16,194,-36,-43,-79,-25,5,233,13,-85,-92,15,15,18,239,-66,-58,-50,-27,-8,242,76,11,-171
500,15,13,16,192,-58,-50,-82,-33,11,232,12,-86,-89,20,16,18,235,-67,-64,-60,-25,-9,239,77,12,-169
550,15,13,16,190,-44,-65,-73,-24,8,233,13,-84,-92,22,16,18,228,-57,-83,-53,-27,-10,241,76,11,-170
600,14,13,17,190,-46,-56,-81,-28,12,231,13,-86,-89,21,15,18,227,-68,-75,-59,-24,-10,239,76,12,-167
650,14,13,17,187,-37,-40,-89,-25,9,233,12,-84,-92,20,16,18,231,-67,-68,-56,-25,-9,239,76,10,-171
700,15,13,16,184,-43,-39,-78,-27,13,233,14,-85,-90,18,16,18,218,-55,-60,-57,-26,-9,242,76,12,-170
750,15,13,17,183,-51,-44,-89,-26,10,230,13,-84,-92,19,16,18,216,-72,-52,-33,-29,-14,244,75,10,-170
800,15,13,16,183,-60,-46,-86,-30,11,232,13,-85,-91,30,15,18,215,-55,-57,-64,-22,-9,239,77,12,-167
850,14,13,17,181,-50,-38,-70,-25,15,233,12,-83,-91,34,15,18,208,-58,-56,-49,-21,-14,240,76,10,-171
900,15,13,17,182,-37,-39,-93,-26,12,234,14,-85,-91,37,15,18,203,-45,-63,-69,-24,-9,240,77,12,-169
950,15,10,18,178,-50,-45,-77,-26,12,234,13,-84,-91,40,17,18,198,-32,-66,-61,-28,-8,241,76,10,-170
1000,14,13,18,171,-52,-20,-86,-27,13,236,14,-85,-90,40,17,17,194,-37,-68,-52,-29,-8,239,77,12,-169
