Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,18,17,20,52,-35,-58,-93,-22,12,236,57,-46,-104,57,18,38,43,-17,-58,-41,-22,-7,245,-39,73,-142
0,16,18,18,122,12,-34,-71,-28,11,232,60,-45,-108,35,18,63,177,-110,-32,-63,-22,-8,236,-24,74,-147
50,16,18,18,126,10,-35,-80,-24,13,234,60,-45,-111,34,18,23,175,-113,-31,-60,-20,-6,244,-23,73,-147
100,15,18,18,131,8,-28,-75,-24,7,233,60,-45,-108,33,17,23,181,-111,-26,-72,-20,-8,240,-24,74,-150
150,14,18,18,139,32,-12,-73,-28,7,237,60,-45,-110,28,17,23,189,-118,-11,-78,-25,-6,240,-23,74,-146
200,14,18,18,144,23,-2,-79,-29,11,234,60,-45,-109,30,17,20,194,-114,-8,-86,-21,-12,238,-23,74,-146
250,14,17,18,154,21,8,-67,-29,11,233,60,-46,-110,27,17,18,197,-115,0,-41,-16,-5,245,-24,74,-148
300,15,18,18,164,56,25,-79,-27,8,238,61,-46,-108,27,16,17,206,-140,38,-47,-21,-10,239,-24,74,-149
350,14,18,17,174,61,96,-101,-29,12,236,60,-45,-109,29,16,17,215,-189,80,-48,-23,-17,242,-22,74,-145
400,13,17,17,180,31,108,-83,-28,12,238,61,-45,-108,14,15,17,235,-242,158,-49,-28,-7,243,-24,74,-146
450,13,15,17,178,-3,51,-76,-32,11,232,61,-47,-108,13,13,17,252,-202,198,-72,-25,-18,238,-23,75,-148
500,13,14,18,180,-12,-32,-65,-28,10,235,60,-46,-110,13,13,18,261,-114,74,-57,-25,-10,243,-23,74,-148
550,14,16,17,188,-19,-77,-83,-29,11,239,60,-47,-107,14,13,17,256,-31,-38,-39,-27,-7,240,-22,75,-145
600,14,16,17,200,-10,-62,-73,-28,7,235,61,-45,-110,14,13,18,230,26,-108,-57,-25,-11,238,-23,74,-146
650,14,16,17,210,25,-20,-57,-28,11,231,60,-46,-108,13,13,18,217,-49,-63,-57,-28,-11,242,-23,75,-148
700,14,16,18,222,4,-26,-60,-26,13,238,61,-45,-110,14,13,18,207,-32,-112,-61,-21,-12,245,-24,75,-148
750,14,16,17,227,-28,-52,-72,-27,12,237,60,-48,-106,14,13,18,190,-16,-137,-60,-22,-12,242,-23,75,-146
800,15,17,18,234,-31,-89,-91,-25,13,235,60,-45,-110,14,14,18,158,-43,-99,-68,-24,-10,243,-23,75,-147
850,15,16,18,233,-48,-92,-92,-30,11,230,61,-47,-106,13,13,18,171,-46,-109,-68,-19,-14,240,-24,74,-148
900,15,17,18,234,-61,-87,-94,-25,13,232,61,-45,-108,13,13,18,166,-57,-66,-59,-25,-10,240,-24,73,-148
950,15,17,18,226,-70,-66,-87,-27,11,233,60,-46,-109,14,14,17,164,-60,-64,-51,-22,-8,241,-23,74,-147
1000,14,17,19,225,-78,-45,-71,-27,10,235,60,-45,-107,14,14,17,165,-58,-56,-60,-25,-9,242,-24,74,-150
1050,14,17,19,220,-69,-59,-78,-27,11,232,60,-45,-110,14,14,17,151,-53,-82,-58,-24,-11,241,-24,75,-149
1100,14,17,19,216,-53,-48,-83,-26,9,235,61,-45,-107,14,13,18,159,-55,-75,-52,-20,-8,246,-23,74,-148
1150,15,17,18,212,-54,-25,-99,-28,10,237,60,-46,-109,31,15,18,162,-77,-60,-50,-17,-12,243,-23,75,-147
1200,15,17,19,210,-24,0,-92,-24,12,233,61,-45,-109,33,14,19,166,-83,-37,-69,-24,-11,247,-24,74,-150
1250,15,17,19,208,-28,6,-91,-30,11,231,59,-48,-109,37,14,18,168,-104,-44,-60,-23,-10,241,-24,74,-149
1300,14,17,19,213,14,26,-83,-28,14,234,60,-45,-108,36,14,20,173,-79,-55,-61,-21,-11,242,-24,74,-147
1350,15,17,19,219,0,-4,-83,-31,11,234,60,-46,-108,36,21,19,172,-66,-48,-50,-25,-13,237,-24,74,-147
1400,15,17,19,227,5,13,-80,-27,12,231,59,-45,-110,33,14,19,173,-70,-46,-75,-24,-11,245,-24,73,-150
1450,15,16,19,233,0,10,-81,-27,13,233,59,-47,-107,33,14,19,171,-71,-38,-59,-21,-8,244,-24,74,-149
1500,14,16,20,238,-13,11,-87,-32,13,236,61,-45,-109,18,14,18,171,-74,-52,-61,-21,-12,241,-23,74,-146
1550,15,16,19,238,-17,-2,-86,-28,13,237,60,-48,-107,18,14,18,176,-83,-59,-46,-21,-8,239,-24,74,-147
1600,15,16,18,238,-39,-24,-79,-27,11,235,61,-44,-111,18,14,18,171,-93,-40,-65,-22,-13,246,-23,74,-150
1650,14,17,19,235,-47,-43,-74,-24,13,236,61,-47,-106,18,14,18,186,-76,-68,-63,-22,-14,243,-24,74,-148
1700,14,17,18,229,-45,-27,-87,-25,12,239,60,-45,-110,35,14,18,191,-65,-75,-62,-21,-12,243,-24,73,-146
1750,14,17,18,224,-52,-39,-83,-29,6,233,60,-46,-106,36,15,18,193,-67,-93,-63,-23,-14,243,-23,75,-148
1800,15,17,18,225,-37,-40,-74,-25,16,235,60,-45,-108,29,15,18,193,-48,-73,-67,-28,-12,249,-24,74,-149
1850,15,16,19,228,-43,-2,-95,-29,6,233,60,-46,-109,36,14,17,190,-47,-86,-70,-25,-8,243,-22,74,-148
1900,14,17,18,226,-29,-20,-80,-29,11,232,60,-46,-107,36,14,16,190,-55,-63,-60,-21,-14,243,-23,74,-146
1950,15,17,18,226,-23,-1,-84,-29,15,233,61,-47,-110,36,14,17,188,-57,-57,-68,-21,-10,243,-24,74,-148
2000,14,16,18,224,-31,-14,-77,-26,9,232,61,-45,-107,35,14,17,187,-50,-86,-71,-23,-11,247,-24,73,-148
2050,14,16,18,223,-47,-31,-73,-31,9,229,61,-46,-108,37,15,17,182,-36,-86,-58,-26,-9,240,-24,75,-145
2100,14,15,18,221,-57,-49,-81,-26,13,232,61,-45,-107,38,15,16,179,-33,-86,-61,-24,-13,243,-23,74,-146
2150,14,16,18,213,-69,-75,-73,-23,15,232,61,-45,-108,40,15,16,175,12,-85,-55,-22,-12,244,-24,73,-149
2200,14,16,18,192,-95,-42,-57,-25,8,233,61,-46,-109,33,16,16,164,101,-98,-53,-20,-11,246,-24,73,-148
2250,14,15,17,167,-142,79,-55,-26,11,233,61,-46,-108,42,20,18,155,153,-100,-39,-21,-10,243,-24,74,-146
2300,14,15,16,88,-357,510,-84,-32,7,236,61,-45,-108,100,31,19,154,71,-216,-59,-22,-7,243,-25,74,-146
2350,13,13,16,26,-1324,-931,-704,-128,-42,441,61,-45,-109,66,58,20,190,-128,-290,-90,-14,-9,242,-25,73,-150
2400,13,13,15,23,-6748,1383,-3699,-17,-101,433,60,-36,-112,97,73,21,225,-74,-154,-54,-21,-9,245,-25,73,-148
2450,13,12,15,21,-6116,-1451,-2669,-59,-69,367,54,-32,-112,97,73,18,217,45,-28,-49,-19,-2,243,-24,74,-146
2500,13,12,15,18,-5964,-2818,-4275,-42,-43,294,47,-22,-119,129,77,25,190,1,0,-20,-19,-8,242,-24,73,-148
2550,13,12,15,18,-5928,-2133,-2137,-17,-10,198,40,-12,-119,138,76,28,183,-85,-26,-52,-19,-7,244,-25,73,-149
2600,13,13,15,18,-5373,-885,-436,-4,4,113,37,-2,-123,202,77,26,185,-119,-47,-36,-25,-5,247,-25,73,-148
2650,13,12,15,17,-3031,47,441,7,12,69,35,4,-122,136,78,27,185,-61,-116,-53,-16,-8,239,-25,74,-147
2700,13,12,15,17,-356,583,598,5,-12,49,35,5,-121,119,59,20,167,-39,-132,-57,-22,-10,243,-25,73,-147
2750,13,12,15,16,1610,299,134,22,-13,33,35,4,-122,120,79,30,165,-33,-112,-57,-17,-4,238,-24,73,-150
2800,13,12,15,17,3104,574,762,8,-56,62,37,-2,-120,141,86,30,156,-21,-171,-52,-15,-4,247,-25,73,-147
2850,13,12,15,17,4552,886,1432,5,-44,91,40,-10,-120,121,88,31,139,-28,-135,-42,-15,-5,246,-25,73,-148
2900,13,12,15,16,6746,1281,1728,-9,26,128,46,-21,-117,137,94,30,127,-16,-26,-52,-14,-6,245,-25,72,-150
2950,13,12,15,16,9489,1505,2329,-76,130,215,52,-34,-113,117,93,31,148,-138,97,-57,-19,-6,246,-25,73,-149
3000,13,13,15,16,10382,3149,3619,-155,24,578,67,-46,-103,106,77,33,161,-238,178,-36,-12,-7,243,-26,74,-148
3050,13,12,15,159,-1244,-782,-327,-18,42,233,63,-48,-105,81,43,34,119,0,713,-142,-39,-52,222,-25,74,-148
3100,13,13,15,90,-447,119,-65,-39,20,224,65,-47,-104,71,17,31,98,-50,111,25,-20,-11,235,-24,72,-150
3150,14,13,16,123,100,-458,-104,-24,0,234,63,-47,-105,81,17,31,92,-299,-4,-42,-21,-1,246,-24,73,-150
3200,15,14,16,173,218,59,-61,-29,17,241,64,-47,-105,34,16,31,174,-242,26,7,-20,-11,253,-23,74,-147
3250,14,13,16,196,66,129,-93,-24,17,232,63,-48,-104,52,15,26,101,-130,132,-60,-30,-7,245,-23,74,-149
3300,15,13,15,212,104,201,-107,-24,16,233,64,-47,-106,49,14,24,105,-140,-61,-64,-24,-7,249,-23,74,-149
3350,15,13,16,228,4,-31,-81,-35,11,231,64,-48,-102,47,15,20,113,-109,-24,-53,-16,-11,241,-23,73,-149
3400,14,13,16,233,-38,-156,-101,-28,9,236,64,-48,-105,41,14,18,114,-83,-32,-41,-24,-9,243,-24,73,-146
3450,12,13,16,233,-39,11,-68,-25,11,231,64,-49,-102,27,14,18,117,-74,-77,-49,-21,-8,244,-24,74,-149
3500,13,13,16,231,-25,-121,-91,-24,17,228,65,-47,-107,23,13,18,121,-87,-43,-52,-25,-13,242,-24,73,-148
3550,13,13,16,237,-13,-17,-109,-25,11,237,64,-48,-105,23,14,19,127,-80,-33,-61,-28,-7,244,-23,74,-147
3600,13,13,18,246,37,34,-72,-29,10,233,64,-48,-103,15,14,18,125,-99,-1,-55,-19,-5,241,-24,74,-146
3650,13,13,18,258,59,35,-76,-26,15,237,64,-49,-104,16,13,18,129,-156,59,-65,-22,-8,242,-24,73,-149
3700,13,13,16,258,4,30,-61,-28,19,232,64,-48,-103,14,13,17,132,-109,8,-33,-26,-12,245,-23,74,-149
3750,13,13,16,262,-36,-8,-81,-27,13,234,64,-48,-105,15,13,22,138,-46,-90,-53,-23,-5,243,-24,74,-146
3800,13,14,16,254,-98,-95,-93,-29,9,231,64,-48,-103,15,14,18,132,4,-42,-57,-26,-6,240,-23,73,-147
3850,13,14,16,241,-114,-109,-100,-31,14,229,63,-49,-106,22,14,18,126,24,-67,-50,-23,-10,241,-24,74,-149
3900,13,13,18,238,-76,-92,-97,-26,12,233,65,-48,-104,22,16,18,121,-24,-83,-59,-24,-9,243,-23,73,-148
3950,13,13,17,232,-74,-59,-89,-29,12,228,64,-49,-105,33,16,19,118,-52,-57,-46,-24,-11,246,-24,74,-146
4000,13,13,17,223,-62,-50,-72,-29,13,233,64,-46,-104,34,16,19,116,-55,-191,-47,-22,-7,246,-24,74,-147
4050,14,14,17,221,-41,-15,-92,-28,13,234,63,-48,-105,39,16,19,118,-69,-103,-45,-22,-5,244,-24,73,-149
4100,14,14,17,215,-62,-42,-81,-27,11,234,63,-48,-105,37,17,19,120,-51,-57,-48,-19,-7,246,-24,74,-147
4150,14,14,16,207,-92,-64,-78,-28,9,231,63,-48,-104,31,17,18,114,-26,-49,-50,-18,-9,246,-24,75,-147
4200,14,14,16,192,-105,-47,-90,-27,14,238,64,-46,-106,29,18,18,112,-35,-24,-38,-20,-9,242,-24,75,-148
4250,15,13,16,176,-107,-19,-92,-26,13,234,64,-49,-103,23,18,23,109,-9,14,-6,-24,-9,245,-24,73,-149
4300,15,13,16,159,-99,8,-84,-28,15,235,64,-47,-107,26,20,20,109,-32,-67,-50,-21,-9,242,-24,73,-148
4350,15,13,16,141,-86,44,-79,-30,11,231,63,-50,-104,48,19,26,115,-31,-66,-56,-26,-4,248,-23,73,-148
4400,14,13,16,138,-20,-55,-69,-35,9,233,63,-47,-104,53,20,28,114,-52,-81,-49,-20,-8,237,-24,74,-149
4450,15,13,16,143,-45,-169,-72,-28,8,233,64,-47,-105,52,20,28,102,-49,-80,-79,-22,-6,244,-24,73,-148
4500,15,13,16,153,-52,-226,-83,-26,12,231,63,-47,-104,62,18,25,87,4,-42,-60,-23,-8,244,-23,73,-148
4550,16,13,17,174,-31,-315,-84,-22,8,233,63,-47,-106,55,79,20,49,284,118,-37,-21,-7,251,-24,73,-150
4600,16,13,19,237,191,-399,-69,-23,11,234,62,-47,-104,38,16,19,27,1895,410,561,-81,-30,412,-21,70,-151
4650,16,16,18,305,223,-209,-71,-24,12,235,62,-47,-106,13,13,14,18,7222,2604,4065,-75,169,465,-7,60,-157
4700,17,17,20,338,51,-256,-83,-16,17,232,62,-49,-104,12,13,14,17,6392,1604,268,-58,158,385,16,43,-163
4750,19,20,18,322,-109,-180,-101,-20,15,237,62,-48,-106,13,13,15,15,6445,2114,990,-16,80,264,34,25,-172
4800,20,18,18,287,-176,-102,-112,-19,15,232,62,-48,-105,12,13,14,14,4622,-602,2252,-12,21,166,43,8,-177
4850,25,22,18,266,-120,-60,-97,-19,8,231,62,-48,-106,12,13,13,17,2869,-653,770,-3,-23,80,44,-3,-181
4900,21,21,18,260,-74,-66,-95,-21,12,233,62,-47,-105,12,12,14,15,1278,256,-596,-12,-47,45,46,-8,-180
4950,19,45,18,251,-114,57,-101,-19,13,232,62,-47,-105,12,13,13,15,-1666,534,-635,-3,-43,42,48,-5,-181
5000,20,22,18,229,-212,101,-95,-21,8,232,62,-47,-105,12,13,13,15,-4614,99,-251,-1,-12,48,45,1,-179
5050,27,18,20,209,-172,-45,-96,-23,10,232,61,-47,-105,12,12,13,16,-6946,-1001,-258,-4,13,82,41,16,-173
5100,18,25,20,183,-226,-76,-119,-25,8,232,63,-46,-107,12,12,13,16,-9189,-367,-1846,-7,19,125,30,33,-161
5150,23,21,22,176,3,-106,-141,-20,10,237,62,-48,-105,12,13,13,15,-8385,-281,-4136,-151,181,401,4,44,-154
5200,30,29,21,186,7,-136,-106,2,-31,262,63,-46,-107,14,15,14,189,-8725,-8673,-2218,-89,-203,374,-15,52,-152
5250,18,20,20,79,-914,412,-272,-24,-5,225,63,-46,-106,81,15,13,74,1661,718,121,3,7,234,-14,52,-153
5300,17,20,19,45,-359,-13,-194,-21,3,228,62,-45,-105,36,23,16,48,747,1021,-97,-38,6,233,-14,49,-152
5350,18,18,21,52,70,-33,-81,-20,6,230,63,-44,-107,77,26,20,33,-261,-595,49,-18,-1,246,-13,49,-155
5400,17,20,21,63,146,-60,-84,-20,10,232,63,-46,-106,51,35,19,52,-291,-276,-88,-28,-3,246,-15,50,-153
5450,18,19,20,75,21,38,-74,-28,7,233,63,-45,-106,75,34,18,66,-140,68,-41,-20,-7,246,-14,50,-153
5500,16,18,19,84,103,35,-73,-24,7,233,63,-46,-105,77,20,18,69,-159,43,-26,-23,-8,239,-14,50,-151
5550,16,18,19,92,114,44,-69,-26,15,236,63,-46,-107,50,20,19,84,-327,-108,-37,-22,-8,244,-15,50,-153
5600,16,19,19,107,63,-8,-83,-23,10,229,63,-47,-105,52,18,17,87,-227,-18,-59,-19,-5,242,-15,51,-152
5650,15,18,18,108,9,-37,-99,-23,8,233,64,-46,-107,42,16,17,103,-180,91,-37,-20,-9,242,-15,51,-152
5700,16,16,18,113,16,2,-81,-25,10,231,63,-47,-105,41,16,18,111,-180,76,-31,-22,-9,238,-14,51,-151
5750,16,17,18,116,4,8,-88,-23,7,233,62,-46,-106,40,16,19,128,-164,39,-34,-23,-11,245,-14,51,-154
5800,15,16,17,118,-50,33,-100,-25,12,232,64,-46,-106,48,17,19,141,-119,11,-56,-26,-10,243,-14,50,-151
5850,15,16,18,109,-100,8,-96,-26,6,236,63,-47,-106,66,16,19,141,-51,-84,-63,-21,-9,242,-16,51,-151
