WAGYRO;10
Time;Ax;Ay;Az;Gx;Gy;Gz;Hx;Hy;Hz;Temp;AnBat;Angle
0;805;809;765;765;764;384;-285;-168;382;230;860;179;
1;805;809;765;764;764;384;-285;-167;375;230;860;284;
2;805;809;765;764;764;384;-284;-171;384;230;859;209;
3;805;809;765;764;764;384;-281;-167;378;230;860;209;
4;805;808;765;765;764;384;-276;-174;381;230;859;198;
5;805;808;764;765;764;384;-279;-171;377;230;860;199;
6;805;809;765;765;764;384;-280;-169;378;230;859;279;
7;805;809;765;764;764;384;-279;-166;381;230;860;278;
8;805;809;765;765;764;385;-280;-169;380;230;859;283;
9;805;809;765;765;764;384;-284;-169;377;230;859;282;
10;805;808;764;764;764;384;-283;-173;383;230;859;282;
11;805;809;765;765;764;384;-284;-168;379;230;859;282;
12;805;808;765;765;764;384;-284;-170;381;230;859;282;
13;805;808;764;765;764;384;-281;-170;375;230;859;283;
14;805;809;765;765;764;384;-284;-173;379;230;859;282;
15;806;809;765;765;764;384;-284;-167;375;230;859;207;
16;805;809;765;764;764;384;-282;-175;376;229;859;207;
17;805;809;765;765;764;384;-285;-169;382;230;858;197;
18;805;809;764;765;764;384;-282;-172;380;230;859;272;
19;805;808;764;764;764;384;-279;-166;377;230;858;277;
20;805;808;764;765;764;384;-282;-168;377;230;859;277;
21;805;808;765;765;764;384;-282;-165;379;230;858;281;
22;805;809;765;765;764;384;-278;-177;378;230;859;281;
23;805;809;765;765;764;384;-277;-171;379;230;858;281;
24;805;809;766;765;764;384;-284;-171;377;230;859;281;
25;805;809;765;765;764;384;-282;-170;373;230;858;281;
26;805;809;765;765;764;384;-283;-161;383;230;858;280;
27;805;809;765;765;764;384;-276;-168;375;230;858;280;
28;805;809;765;765;764;384;-274;-169;387;230;858;205;
29;805;809;765;765;764;384;-283;-168;374;230;858;205;
30;805;809;765;765;764;384;-285;-172;374;230;858;195;
31;805;808;765;764;764;384;-282;-166;376;230;858;275;
32;805;809;765;764;764;384;-280;-168;378;230;858;275;
33;805;809;765;765;764;384;-285;-171;376;230;858;275;
34;805;809;765;765;765;384;-282;-168;378;230;857;279;
35;805;809;765;765;764;384;-282;-163;381;230;858;279;
36;805;809;764;764;764;384;-276;-164;378;230;857;279;
37;805;809;764;765;764;384;-280;-168;377;230;858;279;
38;805;808;764;765;764;384;-282;-171;378;230;857;278;
39;805;808;764;764;764;384;-280;-171;379;230;858;278;
40;805;809;765;765;764;384;-284;-169;383;230;857;278;
41;805;809;765;765;764;384;-279;-172;378;230;858;202;
42;805;809;765;765;764;384;-283;-171;373;230;857;203;
43;804;809;765;764;764;384;-283;-166;379;230;858;193;
44;805;809;765;764;764;384;-280;-170;378;230;858;273;
45;805;809;764;765;764;384;-276;-170;380;230;858;274;
46;805;808;765;765;764;384;-277;-172;375;230;858;274;
47;805;808;765;765;764;384;-286;-168;375;230;858;278;
48;805;809;764;764;764;384;-282;-173;380;230;858;278;
49;805;809;765;765;764;384;-284;-166;374;230;857;278;
50;805;809;764;765;764;384;-279;-171;376;230;858;278;
51;805;809;765;765;764;384;-278;-167;377;230;857;277;
52;805;809;765;765;764;384;-291;-162;375;230;858;278;
53;805;809;765;765;764;384;-276;-168;379;230;857;277;
54;805;809;765;764;764;384;-288;-173;380;230;857;203;
55;805;809;764;765;764;384;-284;-168;379;230;857;203;
56;805;809;764;764;765;384;-279;-167;378;230;857;193;
57;805;809;765;765;764;384;-284;-164;379;230;857;273;
58;805;809;765;765;765;384;-283;-169;374;230;857;273;
59;805;809;765;765;764;384;-285;-167;382;230;857;277;
60;805;809;765;764;764;384;-284;-168;379;230;857;278;
61;804;809;765;764;764;384;-276;-164;374;230;857;278;
62;805;809;765;765;764;384;-291;-165;380;230;857;278;
63;805;809;764;765;764;384;-276;-167;379;230;857;278;
64;805;808;764;765;764;384;-279;-168;376;230;857;278;
65;805;809;764;764;764;384;-285;-169;377;230;857;279;
66;805;809;765;764;764;384;-288;-166;378;230;856;277;
67;805;809;766;765;764;384;-282;-166;379;230;857;203;
68;805;809;765;765;765;384;-281;-170;382;230;856;203;
69;805;809;765;764;764;384;-276;-170;381;230;857;193;
70;805;808;765;765;764;384;-282;-167;378;230;856;274;
71;805;809;765;764;764;384;-284;-167;375;230;857;275;
72;805;809;765;764;764;384;-285;-167;375;230;856;279;
73;805;809;764;765;765;384;-286;-165;378;230;857;279;
74;805;809;764;765;764;384;-285;-171;377;230;856;279;
75;805;809;765;765;764;384;-284;-166;378;230;857;279;
76;805;808;765;764;764;385;-283;-169;382;230;856;279;
77;805;809;765;764;764;384;-290;-166;383;230;857;279;
78;805;809;765;764;764;384;-285;-173;379;230;857;279;
79;805;809;765;764;765;384;-281;-170;383;230;857;204;
80;805;809;765;765;764;384;-280;-162;382;230;857;204;
81;805;809;765;765;764;384;-284;-167;377;230;856;198;
82;805;808;765;765;764;384;-286;-168;376;230;857;195;
83;805;808;765;764;764;384;-282;-168;374;230;856;276;
84;805;808;765;765;764;384;-277;-172;382;230;856;276;
85;805;809;765;765;765;384;-279;-172;380;230;856;280;
86;805;809;765;765;764;384;-281;-166;379;230;856;280;
87;805;809;765;765;765;384;-286;-166;375;230;856;281;
88;805;808;765;765;765;384;-285;-168;377;230;856;281;
89;805;809;765;764;764;384;-285;-167;386;230;856;281;
90;805;809;765;765;764;384;-278;-172;385;230;856;281;
91;806;809;765;765;764;384;-281;-168;379;230;856;282;
92;805;809;765;765;764;384;-280;-167;377;230;856;207;
93;805;809;764;765;765;384;-286;-164;380;230;856;208;
94;805;809;765;765;765;384;-281;-165;375;230;856;202;
95;805;808;765;765;764;384;-274;-170;376;230;856;198;
96;805;809;765;765;764;384;-290;-169;378;230;856;278;
97;805;809;765;765;764;384;-287;-169;382;231;856;278;
98;805;809;765;764;764;384;-285;-170;375;231;856;283;
99;805;809;765;764;765;384;-280;-168;380;230;856;283;
0;805;808;764;765;765;384;-288;-171;378;230;855;282;
1;805;808;764;765;765;384;-284;-169;382;230;855;281;
2;805;808;765;765;764;384;-278;-170;376;230;855;290;
3;805;809;765;765;764;384;-285;-167;374;230;856;283;
4;805;809;765;765;765;384;-284;-167;376;230;855;283;
5;805;809;765;764;765;385;-287;-174;370;231;852;209;
6;805;809;765;765;765;384;-288;-168;380;230;855;209;
7;805;809;765;764;764;384;-277;-167;377;230;856;204;
8;805;809;765;765;764;384;-287;-171;373;230;855;199;
9;805;808;764;765;764;384;-286;-167;381;230;855;280;
10;805;809;765;765;764;384;-287;-168;377;230;855;280;
11;805;809;765;765;764;384;-282;-167;376;231;856;283;
12;805;809;765;764;764;384;-279;-165;379;231;856;284;
13;805;808;766;765;765;384;-285;-166;378;230;855;284;
14;805;809;765;765;764;384;-288;-169;379;230;855;285;
15;805;809;765;765;764;384;-284;-168;376;230;856;284;
16;805;809;765;765;764;384;-278;-170;385;230;856;285;
17;805;809;764;765;764;384;-287;-169;380;230;854;284;
18;805;809;764;765;764;384;-284;-172;382;230;855;211;
19;805;808;764;764;764;384;-285;-169;382;231;855;212;
20;805;808;765;764;764;384;-287;-170;379;230;855;201;
21;806;808;765;765;764;384;-282;-172;385;230;854;201;
22;805;809;765;765;764;384;-283;-170;375;231;855;282;
23;805;809;765;765;764;384;-286;-171;381;230;855;282;
24;805;810;765;764;764;384;-278;-166;376;231;855;284;
25;805;809;766;765;764;384;-284;-169;378;231;854;286;
26;805;809;765;765;764;384;-282;-170;377;230;855;286;
27;805;808;764;765;764;384;-283;-164;376;230;855;286;
28;805;808;764;765;764;384;-283;-162;377;230;855;285;
29;805;809;765;765;764;384;-286;-164;373;231;854;285;
30;805;809;765;765;764;384;-279;-170;373;230;855;286;
31;806;809;766;765;764;384;-285;-160;379;230;855;212;
32;805;809;765;765;764;384;-286;-168;381;230;854;211;
33;805;809;765;765;764;385;-284;-166;378;231;854;201;
34;805;808;764;765;765;384;-282;-166;379;230;854;201;
35;805;809;765;765;764;384;-276;-160;374;231;855;282;
36;805;809;764;764;765;384;-284;-168;375;231;854;281;
37;805;809;765;765;765;384;-277;-168;377;231;854;285;
38;805;809;765;765;764;384;-274;-163;376;231;854;285;
39;805;809;765;764;765;384;-289;-170;378;230;855;285;
40;805;809;766;765;764;384;-279;-166;377;230;854;285;
41;805;809;765;764;764;384;-285;-164;375;231;854;285;
42;805;809;765;765;764;384;-287;-171;379;230;854;285;
43;805;809;765;764;764;384;-288;-162;381;230;854;285;
44;805;808;764;765;764;384;-283;-167;376;231;854;212;
45;805;809;764;764;764;384;-287;-169;377;230;854;211;
46;805;808;765;765;764;384;-272;-170;376;230;854;201;
47;805;809;765;765;764;384;-284;-170;382;231;854;276;
48;805;809;764;764;764;384;-288;-166;377;231;854;281;
49;805;809;765;765;765;384;-279;-165;380;231;854;281;
50;805;809;765;765;765;384;-281;-168;376;231;854;285;
51;805;809;765;765;765;384;-283;-167;381;231;854;284;
52;805;809;766;765;765;384;-284;-169;373;231;854;285;
