WAGYRO;10
Time;Ax;Ay;Az;Gx;Gy;Gz;Hx;Hy;Hz;Temp;AnBat;Angle
8;807;808;765;765;765;384;-292;-178;371;230;856;201;
9;805;807;764;764;764;385;-298;-183;376;230;856;197;
10;806;806;763;764;764;385;-299;-182;374;230;856;278;
11;806;804;764;764;764;384;-300;-173;380;230;857;278;
12;805;805;764;765;765;384;-293;-176;373;230;857;282;
13;805;807;765;765;764;384;-292;-183;369;230;857;276;
14;806;810;766;765;765;384;-294;-185;373;230;856;282;
15;806;812;766;765;765;384;-300;-186;374;230;856;282;
16;807;813;766;765;764;384;-288;-181;372;230;856;282;
17;807;812;765;764;764;384;-291;-182;369;230;855;282;
18;809;810;766;764;764;384;-293;-173;373;230;856;282;
19;808;809;765;764;764;385;-300;-182;373;230;856;208;
20;807;807;764;764;764;384;-295;-179;372;230;856;208;
21;807;807;765;765;764;383;-296;-177;374;230;855;202;
22;806;807;764;764;765;384;-298;-177;374;230;856;198;
23;805;807;764;765;765;384;-295;-183;372;230;856;279;
24;805;807;764;765;765;384;-297;-178;374;230;856;279;
25;805;807;764;765;764;384;-294;-183;371;230;855;283;
26;805;807;765;765;765;384;-294;-175;374;230;856;283;
27;806;808;765;765;764;384;-292;-178;378;230;856;283;
28;806;809;765;765;765;384;-293;-178;372;230;856;283;
29;806;809;765;765;764;385;-294;-179;368;230;856;283;
30;806;809;765;765;764;384;-292;-176;370;230;855;283;
31;807;809;765;764;764;384;-289;-180;373;230;856;283;
32;807;808;766;765;764;384;-296;-179;373;230;856;209;
33;807;809;765;765;764;384;-295;-177;377;230;855;208;
34;807;810;765;765;764;384;-297;-176;378;230;855;198;
35;807;808;765;764;764;385;-298;-182;367;230;856;199;
36;806;807;764;765;764;385;-294;-179;376;230;855;279;
37;805;807;764;765;764;384;-289;-181;372;230;855;279;
38;805;808;765;765;764;384;-292;-174;373;230;855;284;
39;805;809;765;765;765;384;-297;-182;373;230;856;283;
40;805;808;765;765;764;384;-292;-176;373;230;855;283;
41;805;808;764;765;764;385;-296;-176;371;230;855;283;
42;806;808;764;765;765;384;-299;-180;373;230;855;283;
43;805;809;765;765;764;384;-293;-182;369;230;855;283;
44;806;809;766;765;764;385;-293;-181;373;230;856;283;
45;807;809;767;765;764;385;-292;-183;372;230;855;208;
46;808;810;767;765;764;385;-294;-179;372;230;855;208;
47;808;810;766;765;764;385;-298;-178;376;230;855;198;
48;808;809;765;764;764;384;-288;-182;368;230;855;198;
49;807;808;764;764;764;384;-291;-177;369;230;855;279;
50;807;807;765;764;765;384;-294;-175;366;230;855;279;
51;806;806;765;765;765;385;-301;-174;372;230;855;283;
52;804;807;764;765;765;384;-294;-175;369;230;855;283;
53;804;808;764;765;764;384;-298;-178;373;230;855;283;
54;805;809;765;765;764;385;-296;-174;371;230;855;283;
55;805;809;764;765;765;385;-302;-179;371;230;855;282;
56;806;809;764;765;764;385;-300;-176;375;230;855;283;
57;807;808;764;765;764;385;-295;-170;372;230;855;282;
58;808;808;765;765;764;385;-296;-170;369;230;855;208;
59;808;809;765;765;764;384;-302;-170;366;230;855;208;
60;807;808;765;765;764;384;-298;-171;372;230;855;198;
61;807;808;764;765;764;384;-296;-170;368;230;855;274;
62;807;807;765;765;764;384;-294;-171;376;230;856;279;
63;807;806;765;765;764;384;-300;-171;371;230;855;279;
64;807;806;767;765;764;384;-295;-164;363;230;856;283;
65;807;807;767;765;764;384;-291;-176;367;230;855;282;
66;807;807;767;765;765;384;-299;-172;369;230;855;283;
67;807;809;766;765;765;384;-300;-168;369;230;855;283;
68;807;810;765;764;765;383;-298;-172;368;230;855;282;
69;807;810;764;764;765;384;-302;-172;369;230;855;282;
70;807;809;764;764;765;385;-294;-170;367;230;855;282;
71;806;807;763;765;765;385;-293;-172;376;230;855;208;
72;806;807;763;765;765;385;-296;-170;372;230;855;208;
73;806;808;764;765;765;384;-294;-165;372;230;855;197;
