Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,52,18,18,13,38,18,-34,19,-65,226,-54,-94,-118,26,13,18,203,1,-45,-9,-17,44,237,-74,390,91
50,49,18,18,13,21,9,-39,25,-63,220,-55,-96,-117,36,13,18,204,-20,-52,-16,-13,37,242,-74,390,90
100,41,17,17,13,32,-2,-42,25,-59,227,-54,-95,-118,35,13,18,221,-6,-40,-20,-19,44,239,-75,390,90
150,48,18,18,13,9,7,-44,25,-64,221,-53,-97,-117,37,10,19,207,12,-2,-8,-21,44,238,-75,391,92
200,31,18,17,13,13,16,-36,24,-57,219,-54,-95,-119,37,12,18,206,22,-17,5,-20,42,238,-75,390,91
250,55,18,17,13,9,4,-31,24,-67,223,-54,-97,-117,37,13,18,210,21,-14,7,-21,40,238,-74,389,89
300,53,18,17,13,3,9,-28,18,-64,224,-55,-95,-119,39,13,18,205,9,-27,-6,-20,46,240,-74,389,91
350,54,17,17,13,26,5,-33,23,-65,224,-54,-95,-118,30,13,18,209,13,-19,-20,-16,43,240,-74,391,91
400,52,17,17,13,6,7,-55,20,-61,221,-54,-96,-117,30,13,18,207,7,-28,-1,-14,47,240,-75,390,92
450,55,17,17,13,19,20,-41,21,-59,224,-55,-95,-119,30,13,17,206,24,-19,-6,-15,41,234,-75,390,90
500,53,17,17,13,0,-4,-49,24,-64,224,-54,-96,-117,24,13,17,207,20,-18,-17,-21,42,237,-75,389,91
550,52,17,17,13,-8,13,-18,23,-67,220,-55,-95,-118,29,13,18,207,4,-21,-5,-15,40,241,-74,390,93
600,53,17,17,13,36,5,-37,22,-67,217,-54,-96,-117,34,13,18,212,-3,-42,-29,-20,46,241,-74,390,91
650,57,17,16,13,10,13,-40,22,-65,222,-54,-95,-119,36,13,17,210,18,-32,-5,-17,45,241,-74,389,90
700,54,17,17,13,-11,5,-37,27,-61,223,-54,-95,-116,33,12,16,221,20,-20,-8,-18,39,240,-74,390,91
750,57,17,16,13,-10,-14,-37,25,-64,220,-55,-96,-118,30,12,17,209,36,-35,-9,-16,40,239,-74,390,92
800,58,17,17,13,4,-3,-24,24,-65,221,-54,-95,-117,31,13,17,213,21,-26,13,-14,42,233,-74,391,91
850,55,17,17,13,-27,-7,-43,23,-59,221,-55,-95,-118,35,13,17,205,32,-14,-29,-20,46,242,-75,390,90
900,59,17,17,13,-9,0,-56,24,-66,227,-55,-96,-118,32,13,17,207,40,-22,-31,-16,47,240,-74,390,92
950,59,17,17,13,-1,-19,-31,21,-71,222,-54,-97,-118,31,13,17,206,39,-29,-25,-23,43,241,-75,390,91
