Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,49,16,81,84,46,-12,-54,-14,3,236,17,-49,-114,57,13,26,156,-69,2,-24,-17,6,248,15,60,-174
50,40,16,78,92,81,20,-52,-13,1,233,18,-48,-113,52,13,27,174,-83,-25,-43,-17,-2,241,14,61,-173
100,23,15,73,93,68,33,-56,-6,3,235,18,-48,-113,50,13,27,168,-68,-42,-41,-17,2,243,14,60,-174
150,25,15,65,98,77,30,-45,-11,3,230,18,-48,-113,82,13,24,166,-71,-50,-38,-11,3,237,15,60,-172
200,20,15,61,108,91,16,-60,-13,0,241,18,-49,-113,82,13,24,166,-72,-45,-36,-15,2,243,14,60,-174
250,21,15,59,118,89,18,-58,-12,9,235,19,-49,-114,75,13,24,179,-104,-11,-46,-21,0,243,15,62,-174
300,21,15,60,122,81,26,-56,-11,2,233,18,-48,-112,73,13,23,193,-116,2,-49,-16,-2,243,15,61,-173
350,24,15,60,129,49,18,-60,-10,5,232,18,-49,-113,73,13,20,202,-74,-16,-47,-14,-1,245,15,61,-176
400,20,15,59,135,14,-5,-52,-11,1,234,19,-50,-113,71,13,21,202,-51,-29,-39,-11,3,239,14,60,-174
450,20,15,58,139,3,-15,-74,-13,4,235,19,-50,-113,67,13,21,209,-19,-45,-34,-17,0,241,15,62,-173
500,20,14,56,139,1,-10,-69,-12,3,234,18,-49,-114,73,14,21,204,-31,-62,-43,-17,1,246,15,61,-174
550,20,14,55,141,-2,-23,-68,-12,6,235,19,-49,-112,72,14,20,204,-41,-58,-49,-17,1,241,15,61,-173
600,19,14,56,138,9,-10,-71,-14,8,235,19,-49,-114,72,13,21,203,-52,-47,-43,-16,1,246,14,61,-174
650,18,14,55,138,15,-4,-62,-10,6,239,19,-50,-112,70,13,21,217,-61,-48,-36,-18,-3,241,15,61,-173
700,20,14,56,141,-4,-16,-67,-12,3,237,19,-49,-113,75,13,18,219,-67,-61,-40,-19,1,246,14,61,-174
750,18,13,50,141,-9,-15,-70,-12,4,234,19,-49,-113,79,13,18,208,-34,-93,-38,-13,-4,240,14,61,-173
800,18,13,51,143,-7,-34,-67,-11,4,239,19,-49,-115,81,13,18,215,-29,-71,-37,-18,-4,247,14,60,-174
