Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,13,18,15,22,250,0,0,0,0,0,-256,0,0,31,17,46,81,185,0,0,0,0,0,-1024,0,0
0,13,29,15,20,250,0,0,0,0,0,-256,0,0,23,20,31,255,185,0,0,0,0,0,-1024,0,0
50,13,29,15,21,250,0,0,0,0,0,-256,0,0,26,20,30,249,185,0,0,0,0,0,-1024,0,0
100,13,27,16,24,250,0,0,0,0,0,-256,0,0,35,18,25,260,185,0,0,0,0,0,-1024,0,0
150,13,26,16,20,250,0,0,0,0,0,-256,0,0,36,26,27,258,185,0,0,0,0,0,-1024,0,0
200,13,24,17,21,250,0,0,0,0,0,-256,0,0,33,24,29,263,185,0,0,0,0,0,-1024,0,0
250,13,25,16,24,250,0,0,0,0,0,-256,0,0,25,23,29,256,185,0,0,0,0,0,-1024,0,0
300,13,27,16,22,250,0,0,0,0,0,-256,0,0,26,23,27,249,185,0,0,0,0,0,-1024,0,0
350,13,27,16,23,250,0,0,0,0,0,-256,0,0,31,22,19,248,185,0,0,0,0,0,-1024,0,0
400,13,29,16,20,250,0,0,0,0,0,-256,0,0,21,23,25,236,185,0,0,0,0,0,-1024,0,0
450,14,30,16,21,250,0,0,0,0,0,-256,0,0,21,24,27,238,185,0,0,0,0,0,-1024,0,0
500,13,28,16,19,250,0,0,0,0,0,-256,0,0,34,25,24,229,185,0,0,0,0,0,-1024,0,0
550,13,32,16,21,250,0,0,0,0,0,-256,0,0,31,24,26,228,185,0,0,0,0,0,-1024,0,0
600,13,28,15,20,250,0,0,0,0,0,-256,0,0,28,23,28,260,185,0,0,0,0,0,-1024,0,0
650,13,31,16,21,250,0,0,0,0,0,-256,0,0,24,25,28,227,185,0,0,0,0,0,-1024,0,0
700,13,31,16,19,250,0,0,0,0,0,-256,0,0,36,23,24,222,185,0,0,0,0,0,-1024,0,0
750,13,29,15,21,250,0,0,0,0,0,-256,0,0,36,25,23,221,185,0,0,0,0,0,-1024,0,0
800,13,27,16,20,250,0,0,0,0,0,-256,0,0,20,23,27,228,185,0,0,0,0,0,-1024,0,0
850,13,36,16,19,250,0,0,0,0,0,-256,0,0,25,21,27,222,185,0,0,0,0,0,-1024,0,0
900,13,34,16,20,250,0,0,0,0,0,-256,0,0,36,24,25,213,185,0,0,0,0,0,-1024,0,0
950,13,31,16,23,250,0,0,0,0,0,-256,0,0,29,23,27,209,185,0,0,0,0,0,-1024,0,0
1000,13,30,16,21,250,0,0,0,0,0,-256,0,0,41,21,21,203,185,0,0,0,0,0,-1024,0,0
1050,13,29,16,22,250,0,0,0,0,0,-256,0,0,26,20,20,206,185,0,0,0,0,0,-1024,0,0
1100,13,18,16,19,250,0,0,0,0,0,-256,0,0,26,20,20,201,185,0,0,0,0,0,-1024,0,0
1150,13,31,16,20,250,0,0,0,0,0,-256,0,0,29,26,19,200,185,0,0,0,0,0,-1024,0,0
1200,13,31,16,20,250,0,0,0,0,0,-256,0,0,27,19,20,203,185,0,0,0,0,0,-1024,0,0
1250,13,33,16,21,250,0,0,0,0,0,-256,0,0,24,20,20,205,185,0,0,0,0,0,-1024,0,0
1300,13,35,16,21,250,0,0,0,0,0,-256,0,0,30,20,21,201,185,0,0,0,0,0,-1024,0,0
1350,13,34,16,20,250,0,0,0,0,0,-256,0,0,30,21,21,203,185,0,0,0,0,0,-1024,0,0
1400,13,29,16,21,250,0,0,0,0,0,-256,0,0,30,20,36,207,185,0,0,0,0,0,-1024,0,0
1450,13,27,16,21,250,0,0,0,0,0,-256,0,0,29,20,20,205,185,0,0,0,0,0,-1024,0,0
1500,13,29,16,21,250,0,0,0,0,0,-256,0,0,32,22,21,202,185,0,0,0,0,0,-1024,0,0
1550,13,34,16,20,250,0,0,0,0,0,-256,0,0,29,21,21,204,185,0,0,0,0,0,-1024,0,0
1600,13,31,16,16,250,0,0,0,0,0,-256,0,0,22,20,21,211,185,0,0,0,0,0,-1024,0,0
1650,13,31,16,21,250,0,0,0,0,0,-256,0,0,26,20,20,203,185,0,0,0,0,0,-1024,0,0
1700,13,33,17,21,250,0,0,0,0,0,-256,0,0,28,18,21,212,185,0,0,0,0,0,-1024,0,0
1750,13,35,17,21,250,0,0,0,0,0,-256,0,0,28,22,22,211,185,0,0,0,0,0,-1024,0,0
1800,13,36,17,21,250,0,0,0,0,0,-256,0,0,26,20,23,214,185,0,0,0,0,0,-1024,0,0
1850,13,37,16,22,250,0,0,0,0,0,-256,0,0,20,21,23,217,185,0,0,0,0,0,-1024,0,0
1900,13,40,17,25,250,0,0,0,0,0,-256,0,0,28,22,22,212,185,0,0,0,0,0,-1024,0,0
1950,13,35,17,26,250,0,0,0,0,0,-256,0,0,26,19,20,212,185,0,0,0,0,0,-1024,0,0
2000,13,44,16,25,250,0,0,0,0,0,-256,0,0,26,20,25,215,185,0,0,0,0,0,-1024,0,0
2050,13,37,16,20,250,0,0,0,0,0,-256,0,0,33,20,27,212,185,0,0,0,0,0,-1024,0,0
2100,13,36,16,21,250,0,0,0,0,0,-256,0,0,120,23,26,211,185,0,0,0,0,0,-1024,0,0
2150,13,35,16,21,250,0,0,0,0,0,-256,0,0,29,23,25,210,185,0,0,0,0,0,-1024,0,0
2200,13,34,16,20,250,0,0,0,0,0,-256,0,0,29,20,20,214,185,0,0,0,0,0,-1024,0,0
2250,13,34,16,21,250,0,0,0,0,0,-256,0,0,30,20,28,207,185,0,0,0,0,0,-1024,0,0
2300,13,38,16,19,250,0,0,0,0,0,-256,0,0,34,21,26,207,185,0,0,0,0,0,-1024,0,0
2350,13,39,16,20,250,0,0,0,0,0,-256,0,0,33,29,26,207,185,0,0,0,0,0,-1024,0,0
2400,13,37,16,21,250,0,0,0,0,0,-256,0,0,30,20,28,215,185,0,0,0,0,0,-1024,0,0
2450,13,37,16,21,250,0,0,0,0,0,-256,0,0,31,19,20,205,185,0,0,0,0,0,-1024,0,0
2500,13,37,16,21,250,0,0,0,0,0,-256,0,0,33,19,24,207,185,0,0,0,0,0,-1024,0,0
2550,13,44,16,21,250,0,0,0,0,0,-256,0,0,34,20,21,204,185,0,0,0,0,0,-1024,0,0
2600,13,39,16,22,250,0,0,0,0,0,-256,0,0,31,20,26,208,185,0,0,0,0,0,-1024,0,0
2650,13,38,16,21,250,0,0,0,0,0,-256,0,0,30,20,27,208,185,0,0,0,0,0,-1024,0,0
2700,13,37,16,22,250,0,0,0,0,0,-256,0,0,34,19,25,274,185,0,0,0,0,0,-1024,0,0
2750,13,39,16,21,250,0,0,0,0,0,-256,0,0,33,19,24,203,185,0,0,0,0,0,-1024,0,0
2800,13,39,16,22,250,0,0,0,0,0,-256,0,0,31,18,26,208,185,0,0,0,0,0,-1024,0,0
2850,13,40,16,23,250,0,0,0,0,0,-256,0,0,31,19,27,209,185,0,0,0,0,0,-1024,0,0
2900,13,39,16,22,250,0,0,0,0,0,-256,0,0,28,19,23,209,185,0,0,0,0,0,-1024,0,0
2950,13,36,16,22,250,0,0,0,0,0,-256,0,0,33,20,25,210,185,0,0,0,0,0,-1024,0,0
3000,13,40,16,21,250,0,0,0,0,0,-256,0,0,31,19,26,212,185,0,0,0,0,0,-1024,0,0
3050,13,40,16,22,250,0,0,0,0,0,-256,0,0,45,18,27,208,185,0,0,0,0,0,-1024,0,0
3100,13,42,16,23,250,0,0,0,0,0,-256,0,0,35,19,27,204,185,0,0,0,0,0,-1024,0,0
3150,13,43,16,22,250,0,0,0,0,0,-256,0,0,43,20,26,209,185,0,0,0,0,0,-1024,0,0
3200,13,20,16,20,250,0,0,0,0,0,-256,0,0,38,20,28,213,185,0,0,0,0,0,-1024,0,0
3250,13,41,16,26,250,0,0,0,0,0,-256,0,0,38,20,23,216,185,0,0,0,0,0,-1024,0,0
3300,13,42,16,25,250,0,0,0,0,0,-256,0,0,36,19,23,217,185,0,0,0,0,0,-1024,0,0
3350,13,44,16,23,250,0,0,0,0,0,-256,0,0,40,19,24,220,185,0,0,0,0,0,-1024,0,0
3400,13,48,16,22,250,0,0,0,0,0,-256,0,0,35,19,27,226,185,0,0,0,0,0,-1024,0,0
3450,13,39,18,19,250,0,0,0,0,0,-256,0,0,32,19,29,229,185,0,0,0,0,0,-1024,0,0
