Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,61,19,34,63,-70,-38,-48,0,6,227,11,-56,-132,57,17,35,116,3,-32,-26,0,0,240,28,-1,-190
0,48,18,55,67,88,25,-43,-6,7,236,55,-62,-129,55,16,27,69,-135,10,-50,3,-2,246,-91,58,-137
50,46,18,45,74,90,23,-52,-4,9,233,54,-63,-129,23,16,26,76,-127,11,-40,-2,-3,243,-92,58,-137
100,43,18,45,80,50,11,-50,-3,7,234,54,-63,-129,40,15,26,68,-73,-40,-49,-1,-1,243,-91,59,-137
150,45,19,61,80,27,-18,-59,-2,11,235,54,-63,-129,21,15,21,75,-50,-57,-46,1,3,243,-92,58,-138
200,36,18,79,83,39,-12,-38,0,7,238,54,-63,-128,40,15,22,75,-58,-45,-35,-2,0,246,-91,58,-136
250,40,18,41,85,39,-2,-45,-5,10,236,54,-63,-129,33,15,23,79,-46,-31,-55,2,-1,241,-92,59,-136
300,41,18,40,91,33,7,-29,-5,8,237,54,-63,-128,36,15,24,81,-52,-43,-56,3,-2,245,-91,58,-137
350,36,17,39,96,22,0,-37,-4,10,234,54,-63,-129,46,15,23,71,-71,-42,-53,0,0,241,-91,59,-137
400,37,17,37,107,1,-3,-52,-7,8,230,54,-63,-129,34,13,20,75,-57,-45,-38,7,-2,246,-92,59,-136
450,37,16,42,96,-16,-7,-73,-3,8,232,54,-62,-130,28,14,23,84,-52,-38,-46,4,0,242,-91,59,-136
500,43,16,40,95,-10,-3,-60,-5,9,235,54,-63,-128,34,14,23,81,-28,-54,-46,1,-5,244,-92,59,-137
550,42,17,40,131,-8,-11,-53,-6,9,231,53,-62,-129,32,15,21,81,-28,-54,-39,4,0,245,-92,59,-138
600,44,17,38,102,-6,-24,-54,-2,12,233,54,-62,-128,37,15,21,79,-26,-54,-32,2,0,241,-92,58,-137
650,44,16,37,104,-1,-19,-56,-2,11,232,54,-63,-129,37,15,20,82,-19,-52,-48,5,2,244,-92,58,-136
700,47,17,40,103,-2,-22,-61,-4,8,237,54,-63,-128,28,15,21,79,-30,-50,-43,0,2,243,-91,59,-137
750,49,17,41,106,7,-10,-59,0,12,234,55,-63,-129,35,14,20,79,-34,-45,-44,2,-2,246,-92,58,-138
800,51,16,40,104,-9,-23,-44,-4,11,237,54,-62,-128,40,15,18,55,-34,-40,-50,-6,-3,240,-91,58,-137
850,51,17,37,106,-28,-20,-42,-4,8,235,55,-62,-129,34,15,20,79,-20,-48,-38,0,-5,243,-92,59,-137
900,50,17,38,106,-20,-34,-40,-4,14,236,54,-62,-127,21,15,20,74,-3,-47,-46,4,-1,245,-91,59,-136
950,50,16,41,102,-41,-36,-52,-3,9,239,54,-63,-129,30,14,21,70,-8,-52,-39,1,-1,245,-91,59,-137
1000,49,17,42,97,-44,-30,-45,-8,8,240,55,-62,-128,49,15,21,74,-7,-49,-38,-3,2,236,-91,58,-137
1050,52,17,41,98,-52,-32,-50,1,11,236,54,-62,-128,52,15,20,80,-14,-47,-38,-4,3,241,-91,59,-136
1100,55,17,42,96,-29,-37,-46,-9,8,236,54,-63,-128,58,15,21,83,-7,-49,-36,2,1,242,-92,58,-137
1150,54,17,42,96,-7,-33,-52,0,12,239,54,-63,-128,62,15,21,79,-12,-39,-58,1,4,243,-91,59,-137
1200,33,16,41,96,-9,-32,-40,-3,8,239,54,-62,-129,37,15,22,81,-30,-25,-47,2,-1,247,-92,58,-137
1250,52,17,41,118,-5,-26,-41,-6,9,230,54,-62,-128,44,15,23,85,-47,-44,-37,-2,-2,242,-92,58,-137
1300,54,17,41,96,5,-16,-52,-6,10,238,54,-63,-128,59,15,23,89,-32,-59,-54,-1,-1,243,-92,59,-137
1350,54,17,41,96,2,-19,-57,13,11,237,54,-63,-129,48,15,22,84,-33,-42,-53,2,-2,241,-91,59,-137
1400,54,17,45,95,-4,-28,-40,-1,12,227,54,-63,-129,49,15,22,80,-33,-42,-52,-6,0,248,-91,59,-136
