Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,20,16,15,14,10,0,0,0,0,0,-1792,0,0,43,14,18,87,210,0,0,0,0,0,0,0,0
50,21,16,15,14,10,0,0,0,0,0,-1792,0,0,49,14,19,76,210,0,0,0,0,0,0,0,0
100,21,16,15,14,10,0,0,0,0,0,-1792,0,0,19,15,19,74,210,0,0,0,0,0,0,0,0
150,23,16,15,14,10,0,0,0,0,0,-1792,0,0,28,15,18,73,210,0,0,0,0,0,0,0,0
200,20,16,15,14,10,0,0,0,0,0,-1792,0,0,28,15,18,85,210,0,0,0,0,0,0,0,0
250,20,16,15,14,10,0,0,0,0,0,-1792,0,0,33,15,18,84,210,0,0,0,0,0,0,0,0
300,20,16,15,14,10,0,0,0,0,0,-1792,0,0,36,15,18,78,210,0,0,0,0,0,0,0,0
350,20,16,15,14,10,0,0,0,0,0,-1792,0,0,36,15,18,78,210,0,0,0,0,0,0,0,0
400,20,16,15,14,10,0,0,0,0,0,-1792,0,0,37,15,18,76,210,0,0,0,0,0,0,0,0
450,20,16,15,14,10,0,0,0,0,0,-1792,0,0,35,15,19,73,210,0,0,0,0,0,0,0,0
500,20,16,15,14,10,0,0,0,0,0,-1792,0,0,36,15,19,75,210,0,0,0,0,0,0,0,0
550,23,16,15,14,10,0,0,0,0,0,-1792,0,0,34,15,18,76,210,0,0,0,0,0,0,0,0
600,22,16,15,14,10,0,0,0,0,0,-1792,0,0,37,15,18,77,210,0,0,0,0,0,0,0,0
650,23,16,15,14,10,0,0,0,0,0,-1792,0,0,34,15,20,71,210,0,0,0,0,0,0,0,0
700,23,16,15,14,10,0,0,0,0,0,-1792,0,0,32,15,19,75,210,0,0,0,0,0,0,0,0
750,23,16,15,14,10,0,0,0,0,0,-1792,0,0,34,15,19,75,210,0,0,0,0,0,0,0,0
800,21,16,15,14,10,0,0,0,0,0,-1792,0,0,35,15,19,71,210,0,0,0,0,0,0,0,0
850,25,16,15,15,10,0,0,0,0,0,-1792,0,0,39,15,19,76,210,0,0,0,0,0,0,0,0
900,21,16,15,14,10,0,0,0,0,0,-1792,0,0,42,15,18,75,210,0,0,0,0,0,0,0,0
950,22,16,15,14,10,0,0,0,0,0,-1792,0,0,44,16,19,84,210,0,0,0,0,0,0,0,0
1000,21,16,15,14,10,0,0,0,0,0,-1792,0,0,43,15,19,74,210,0,0,0,0,0,0,0,0
1050,22,16,15,15,10,0,0,0,0,0,-1792,0,0,43,15,19,73,210,0,0,0,0,0,0,0,0
1100,22,16,15,14,10,0,0,0,0,0,-1792,0,0,45,15,19,73,210,0,0,0,0,0,0,0,0
1150,22,16,16,14,10,0,0,0,0,0,-1792,0,0,43,15,19,74,210,0,0,0,0,0,0,0,0
1200,35,16,15,14,10,0,0,0,0,0,-1792,0,0,45,15,20,73,210,0,0,0,0,0,0,0,0
1250,20,16,15,15,10,0,0,0,0,0,-1792,0,0,45,15,18,73,210,0,0,0,0,0,0,0,0
1300,21,16,15,14,10,0,0,0,0,0,-1792,0,0,43,15,19,74,210,0,0,0,0,0,0,0,0
1350,21,16,15,14,10,0,0,0,0,0,-1792,0,0,42,15,19,75,210,0,0,0,0,0,0,0,0
1400,21,16,15,15,10,0,0,0,0,0,-1792,0,0,43,15,19,78,210,0,0,0,0,0,0,0,0
1450,21,16,15,15,10,0,0,0,0,0,-1792,0,0,45,15,19,77,210,0,0,0,0,0,0,0,0
1500,21,16,12,14,10,0,0,0,0,0,-1792,0,0,39,15,19,74,210,0,0,0,0,0,0,0,0
1550,20,16,15,14,10,0,0,0,0,0,-1792,0,0,35,15,19,78,210,0,0,0,0,0,0,0,0
1600,20,16,15,15,10,0,0,0,0,0,-1792,0,0,34,15,18,77,210,0,0,0,0,0,0,0,0
1650,22,16,15,14,10,0,0,0,0,0,-1792,0,0,35,15,18,80,210,0,0,0,0,0,0,0,0
1700,21,16,15,14,10,0,0,0,0,0,-1792,0,0,37,15,18,79,210,0,0,0,0,0,0,0,0
1750,21,16,15,15,10,0,0,0,0,0,-1792,0,0,38,15,19,80,210,0,0,0,0,0,0,0,0
1800,21,16,15,15,10,0,0,0,0,0,-1792,0,0,39,15,19,79,210,0,0,0,0,0,0,0,0
1850,21,16,15,15,10,0,0,0,0,0,-1792,0,0,40,15,19,77,210,0,0,0,0,0,0,0,0
1900,23,16,15,15,10,0,0,0,0,0,-1792,0,0,37,15,19,78,210,0,0,0,0,0,0,0,0
1950,20,16,15,14,10,0,0,0,0,0,-1792,0,0,36,15,18,82,210,0,0,0,0,0,0,0,0
2000,21,16,15,15,10,0,0,0,0,0,-1792,0,0,37,15,19,80,210,0,0,0,0,0,0,0,0
2050,21,16,15,15,10,0,0,0,0,0,-1792,0,0,38,15,19,79,210,0,0,0,0,0,0,0,0
2100,22,15,15,15,10,0,0,0,0,0,-1792,0,0,38,15,19,79,210,0,0,0,0,0,0,0,0
2150,21,16,15,14,10,0,0,0,0,0,-1792,0,0,36,15,19,79,210,0,0,0,0,0,0,0,0
2200,21,16,15,14,10,0,0,0,0,0,-1792,0,0,37,15,19,80,210,0,0,0,0,0,0,0,0
