Time,PD1,PD2,PD3,PD4,GDX,GDY,GDZ,ADX,ADY,ADZ,HDX,HDY,HDZ,PI1,PI2,PI3,PI4,GIX,GIY,GIZ,AIX,AIY,AIZ,HIX,HIY,HIZ
0,13,20,21,179,250,0,0,0,0,0,-256,0,0,22,18,16,327,185,0,0,0,0,0,-1024,0,0
50,13,18,21,167,250,0,0,0,0,0,-256,0,0,29,19,17,372,185,0,0,0,0,0,-1024,0,0
100,13,16,20,165,250,0,0,0,0,0,-256,0,0,66,16,16,379,185,0,0,0,0,0,-1024,0,0
150,13,16,18,164,250,0,0,0,0,0,-256,0,0,74,16,16,399,185,0,0,0,0,0,-1024,0,0
200,13,15,18,170,250,0,0,0,0,0,-256,0,0,76,16,15,413,185,0,0,0,0,0,-1024,0,0
250,13,15,18,150,250,0,0,0,0,0,-256,0,0,37,16,16,423,185,0,0,0,0,0,-1024,0,0
300,13,17,19,159,250,0,0,0,0,0,-256,0,0,74,14,14,428,185,0,0,0,0,0,-1024,0,0
350,13,15,18,157,250,0,0,0,0,0,-256,0,0,59,15,14,417,185,0,0,0,0,0,-1024,0,0
400,13,14,17,152,250,0,0,0,0,0,-256,0,0,63,15,14,412,185,0,0,0,0,0,-1024,0,0
450,13,16,18,154,250,0,0,0,0,0,-256,0,0,75,15,14,390,185,0,0,0,0,0,-1024,0,0
500,13,15,18,149,250,0,0,0,0,0,-256,0,0,81,15,14,383,185,0,0,0,0,0,-1024,0,0
550,13,16,19,144,250,0,0,0,0,0,-256,0,0,66,16,15,369,185,0,0,0,0,0,-1024,0,0
600,13,15,19,146,250,0,0,0,0,0,-256,0,0,88,16,15,353,185,0,0,0,0,0,-1024,0,0
650,13,15,19,144,250,0,0,0,0,0,-256,0,0,77,16,15,337,185,0,0,0,0,0,-1024,0,0
700,13,16,20,135,250,0,0,0,0,0,-256,0,0,78,15,15,332,185,0,0,0,0,0,-1024,0,0
750,13,15,20,145,250,0,0,0,0,0,-256,0,0,68,16,14,313,185,0,0,0,0,0,-1024,0,0
800,13,16,20,141,250,0,0,0,0,0,-256,0,0,58,15,14,289,185,0,0,0,0,0,-1024,0,0
850,14,15,20,138,250,0,0,0,0,0,-256,0,0,58,15,14,262,185,0,0,0,0,0,-1024,0,0
900,14,15,20,147,250,0,0,0,0,0,-256,0,0,39,15,14,268,185,0,0,0,0,0,-1024,0,0
950,13,15,20,151,250,0,0,0,0,0,-256,0,0,19,15,15,264,185,0,0,0,0,0,-1024,0,0
1000,13,15,20,146,250,0,0,0,0,0,-256,0,0,19,15,14,256,185,0,0,0,0,0,-1024,0,0
1050,13,15,21,139,250,0,0,0,0,0,-256,0,0,21,16,14,250,185,0,0,0,0,0,-1024,0,0
1100,14,15,20,142,250,0,0,0,0,0,-256,0,0,18,16,14,231,185,0,0,0,0,0,-1024,0,0
1150,14,15,20,146,250,0,0,0,0,0,-256,0,0,17,15,14,232,185,0,0,0,0,0,-1024,0,0
1200,14,15,20,150,250,0,0,0,0,0,-256,0,0,15,15,14,207,185,0,0,0,0,0,-1024,0,0
1250,13,15,20,149,250,0,0,0,0,0,-256,0,0,17,15,15,221,185,0,0,0,0,0,-1024,0,0
1300,13,15,20,154,250,0,0,0,0,0,-256,0,0,17,16,14,221,185,0,0,0,0,0,-1024,0,0
1350,13,15,20,159,250,0,0,0,0,0,-256,0,0,16,15,14,218,185,0,0,0,0,0,-1024,0,0
1400,13,15,20,161,250,0,0,0,0,0,-256,0,0,16,15,14,213,185,0,0,0,0,0,-1024,0,0
1450,6,15,20,155,250,0,0,0,0,0,-256,0,0,17,15,13,214,185,0,0,0,0,0,-1024,0,0
1500,13,16,20,159,250,0,0,0,0,0,-256,0,0,17,14,14,217,185,0,0,0,0,0,-1024,0,0
1550,14,16,20,158,250,0,0,0,0,0,-256,0,0,17,15,14,219,185,0,0,0,0,0,-1024,0,0
1600,13,15,20,171,250,0,0,0,0,0,-256,0,0,18,15,14,230,185,0,0,0,0,0,-1024,0,0
1650,13,15,21,181,250,0,0,0,0,0,-256,0,0,18,15,14,233,185,0,0,0,0,0,-1024,0,0
1700,13,15,20,187,250,0,0,0,0,0,-256,0,0,18,16,14,235,185,0,0,0,0,0,-1024,0,0
1750,13,16,20,182,250,0,0,0,0,0,-256,0,0,18,15,14,233,185,0,0,0,0,0,-1024,0,0
1800,13,15,20,187,250,0,0,0,0,0,-256,0,0,17,15,14,242,185,0,0,0,0,0,-1024,0,0
1850,13,15,20,186,250,0,0,0,0,0,-256,0,0,18,15,14,249,185,0,0,0,0,0,-1024,0,0
1900,13,15,20,187,250,0,0,0,0,0,-256,0,0,18,15,14,256,185,0,0,0,0,0,-1024,0,0
1950,13,16,19,184,250,0,0,0,0,0,-256,0,0,17,15,14,269,185,0,0,0,0,0,-1024,0,0
2000,14,15,19,239,250,0,0,0,0,0,-256,0,0,17,15,14,272,185,0,0,0,0,0,-1024,0,0
2050,14,15,18,182,250,0,0,0,0,0,-256,0,0,17,15,14,273,185,0,0,0,0,0,-1024,0,0
2100,13,15,18,179,250,0,0,0,0,0,-256,0,0,18,15,14,281,185,0,0,0,0,0,-1024,0,0
2150,13,15,18,203,250,0,0,0,0,0,-256,0,0,18,15,14,289,185,0,0,0,0,0,-1024,0,0
2200,14,15,18,176,250,0,0,0,0,0,-256,0,0,17,14,14,296,185,0,0,0,0,0,-1024,0,0
2250,13,15,18,174,250,0,0,0,0,0,-256,0,0,18,15,14,296,185,0,0,0,0,0,-1024,0,0
2300,13,15,17,176,250,0,0,0,0,0,-256,0,0,19,15,14,300,185,0,0,0,0,0,-1024,0,0
2350,13,16,17,182,250,0,0,0,0,0,-256,0,0,18,14,14,303,185,0,0,0,0,0,-1024,0,0
2400,13,17,17,181,250,0,0,0,0,0,-256,0,0,18,15,14,303,185,0,0,0,0,0,-1024,0,0
2450,13,17,17,178,250,0,0,0,0,0,-256,0,0,17,14,14,300,185,0,0,0,0,0,-1024,0,0
2500,13,20,17,177,250,0,0,0,0,0,-256,0,0,18,14,14,302,185,0,0,0,0,0,-1024,0,0
2550,14,17,17,178,250,0,0,0,0,0,-256,0,0,17,14,14,301,185,0,0,0,0,0,-1024,0,0
2600,14,17,17,177,250,0,0,0,0,0,-256,0,0,17,14,14,300,185,0,0,0,0,0,-1024,0,0
2650,13,17,17,170,250,0,0,0,0,0,-256,0,0,17,13,14,299,185,0,0,0,0,0,-1024,0,0
2700,13,16,17,173,250,0,0,0,0,0,-256,0,0,14,14,14,297,185,0,0,0,0,0,-1024,0,0
2750,13,16,16,179,250,0,0,0,0,0,-256,0,0,15,13,14,300,185,0,0,0,0,0,-1024,0,0
2800,14,16,17,177,250,0,0,0,0,0,-256,0,0,15,11,14,298,185,0,0,0,0,0,-1024,0,0
2850,14,16,18,188,250,0,0,0,0,0,-256,0,0,15,14,14,287,185,0,0,0,0,0,-1024,0,0
2900,13,16,18,177,250,0,0,0,0,0,-256,0,0,15,14,14,285,185,0,0,0,0,0,-1024,0,0
2950,14,16,18,174,250,0,0,0,0,0,-256,0,0,15,14,14,285,185,0,0,0,0,0,-1024,0,0
3000,14,16,18,176,250,0,0,0,0,0,-256,0,0,16,14,14,288,185,0,0,0,0,0,-1024,0,0
3050,13,15,18,177,250,0,0,0,0,0,-256,0,0,16,14,14,287,185,0,0,0,0,0,-1024,0,0
3100,14,16,18,180,250,0,0,0,0,0,-256,0,0,16,14,13,286,185,0,0,0,0,0,-1024,0,0
3150,14,16,18,180,250,0,0,0,0,0,-256,0,0,17,14,13,287,185,0,0,0,0,0,-1024,0,0
3200,14,16,18,181,250,0,0,0,0,0,-256,0,0,17,13,14,289,185,0,0,0,0,0,-1024,0,0
3250,14,16,18,180,250,0,0,0,0,0,-256,0,0,17,14,14,287,185,0,0,0,0,0,-1024,0,0
3300,13,15,18,186,250,0,0,0,0,0,-256,0,0,17,14,13,291,185,0,0,0,0,0,-1024,0,0
3350,14,16,18,189,250,0,0,0,0,0,-256,0,0,17,14,14,293,185,0,0,0,0,0,-1024,0,0
3400,14,16,18,187,250,0,0,0,0,0,-256,0,0,17,14,14,293,185,0,0,0,0,0,-1024,0,0
3450,14,16,18,187,250,0,0,0,0,0,-256,0,0,17,14,13,289,185,0,0,0,0,0,-1024,0,0
3500,14,16,18,185,250,0,0,0,0,0,-256,0,0,17,14,14,289,185,0,0,0,0,0,-1024,0,0
3550,14,15,18,186,250,0,0,0,0,0,-256,0,0,17,14,13,294,185,0,0,0,0,0,-1024,0,0
3600,14,16,18,187,250,0,0,0,0,0,-256,0,0,17,17,13,293,185,0,0,0,0,0,-1024,0,0
3650,14,16,18,189,250,0,0,0,0,0,-256,0,0,17,13,13,292,185,0,0,0,0,0,-1024,0,0
3700,14,16,18,185,250,0,0,0,0,0,-256,0,0,17,13,14,289,185,0,0,0,0,0,-1024,0,0
3750,14,16,17,189,250,0,0,0,0,0,-256,0,0,17,13,14,293,185,0,0,0,0,0,-1024,0,0
3800,14,16,19,186,250,0,0,0,0,0,-256,0,0,17,14,14,294,185,0,0,0,0,0,-1024,0,0
3850,14,16,18,183,250,0,0,0,0,0,-256,0,0,18,14,14,297,185,0,0,0,0,0,-1024,0,0
3900,14,16,18,186,250,0,0,0,0,0,-256,0,0,17,14,14,291,185,0,0,0,0,0,-1024,0,0
3950,14,16,18,187,250,0,0,0,0,0,-256,0,0,17,14,14,293,185,0,0,0,0,0,-1024,0,0
4000,14,16,18,191,250,0,0,0,0,0,-256,0,0,17,14,14,294,185,0,0,0,0,0,-1024,0,0
4050,14,16,18,189,250,0,0,0,0,0,-256,0,0,17,14,13,293,185,0,0,0,0,0,-1024,0,0
4100,14,16,18,188,250,0,0,0,0,0,-256,0,0,17,14,14,294,185,0,0,0,0,0,-1024,0,0
4150,14,16,18,190,250,0,0,0,0,0,-256,0,0,17,14,14,297,185,0,0,0,0,0,-1024,0,0
4200,14,17,18,189,250,0,0,0,0,0,-256,0,0,16,14,14,296,185,0,0,0,0,0,-1024,0,0
